Epigenome ID (EID)	Standardized Epigenome name	Epigenome Mnemonic	GROUP	EID_info
E120	HSMM Skeletal Muscle Myoblasts Cells	MUS.HSMM	ENCODE2012	E120_MUS.HSMM_ENCODE2012
E121	HSMM cell derived Skeletal Muscle Myotubes Cells	MUS.HSMMT	ENCODE2012	E121_MUS.HSMMT_ENCODE2012
E122	HUVEC Umbilical Vein Endothelial Primary Cells	VAS.HUVEC	ENCODE2012	E122_VAS.HUVEC_ENCODE2012
E123	K562 Leukemia Cells	BLD.K562.CNCR	ENCODE2012	E123_BLD.K562.CNCR_ENCODE2012
E124	Monocytes-CD14+ RO01746 Primary Cells	BLD.CD14.MONO	ENCODE2012	E124_BLD.CD14.MONO_ENCODE2012
E125	NH-A Astrocytes Primary Cells	BRN.NHA	ENCODE2012	E125_BRN.NHA_ENCODE2012
E126	NHDF-Ad Adult Dermal Fibroblast Primary Cells	SKIN.NHDFAD	ENCODE2012	E126_SKIN.NHDFAD_ENCODE2012
E127	NHEK-Epidermal Keratinocyte Primary Cells	SKIN.NHEK	ENCODE2012	E127_SKIN.NHEK_ENCODE2012
E128	NHLF Lung Fibroblast Primary Cells	LNG.NHLF	ENCODE2012	E128_LNG.NHLF_ENCODE2012
E129	Osteoblast Primary Cells	BONE.OSTEO	ENCODE2012	E129_BONE.OSTEO_ENCODE2012
